StationID,StationName,DisplayName,Latitude,Longitude,Elevation,City,ZipCode,TzTimeZone,StateCode,StateDesc,CountryCode,CountryDesc,CountyName
3019,KDAN,Danville Regional Airport,36.57,-79.33,574,Danville,24586,US/Eastern,VA,Virginia,US,United States of America,Danville City
6424,KEMV,Emporia Municipal Airport,36.69,-77.48,39,Emporia,23847,US/Eastern,VA,Virginia,,,Emporia City
3239,KFKN,Franklin-J B Rose Reporting Station,36.7,-76.9,39,Franklin,23851,US/Eastern,VA,Virginia,US,United States of America,Franklin City
3195,KEZF,Shannon Airport,38.2662,-77.4493,85,Fredericksburg,22408,US/Eastern,VA,Virginia,US,United States of America,Fredericksburg City
3672,KLFI,Langley Air Force Base,37.08,-76.37,10,Hampton,23665,US/Eastern,VA,Virginia,US,United States of America,Hampton City
4465,KSHD,Staunton-Shenandoah Reporting Station,38.27,-78.9,1201,Staunton,24486,US/Eastern,VA,Virginia,US,United States of America,Harrisonburg City
3756,KLYH,Lynchburg Regional Airport,37.33,-79.2,968,Lynchburg,24502,US/Eastern,VA,Virginia,US,United States of America,Lynchburg City
3405,KHEF,Manassas Municipal AWOS,38.7214,-77.5154,194,Manassas,20136,US/Eastern,VA,Virginia,US,United States of America,Manassas City
4202,KPHF,Newport News - Williamsburg International Airport,37.13,-76.5,56,Newport News,23602,US/Eastern,VA,Virginia,US,United States of America,Newport News City
4107,KORF,Norfolk International Airport,36.9036,-76.1919,30,Norfolk,23518,US/Eastern,VA,Virginia,US,United States of America,Norfolk City
3985,KNGU,Norfolk Naval Air Station,36.93,-76.28,30,Norfolk,23505,US/Eastern,VA,Virginia,US,United States of America,Norfolk City
4265,KPTB,Petersburg Automatic Weather Reporting Station,37.1838,-77.5074,194,Petersburg,23803,US/Eastern,VA,Virginia,US,United States of America,Petersburg City
4023,KNTU,Oceana Naval Air Station,36.82,-76.03,23,Virginia Beach,23460,US/Eastern,VA,Virginia,US,United States of America,Virginia Beach City
2952,KCPK,Chesapeake Municipal Airport,36.66,-76.32,0,Chesapeake,23459,US/Eastern,VA,Virginia,US,United States of America,Virginia Beach City
3587,KJGG,Williamsburg/Jamestown Airport,37.24,-76.72,49,Williamsburg,23185,US/Eastern,VA,Virginia,,,Williamsburg City
4074,KOKV,Winchester Regional Airport,39.1435,-78.1444,728,Winchester,22601,US/Eastern,VA,Virginia,US,United States of America,Winchester City
4281,KPUW,Pullman / Moscow Regional Airport,46.7439,-117.1096,2552,Pullman - Moscow,99164,US/Pacific,WA,Washington,US,United States of America,Asotin
4257,KPSC,Tri-Cities Airport,46.2647,-119.119,407,Pasco,99302,US/Pacific,WA,Washington,US,United States of America,Benton
3436,KHMS,Hanford,46.5667,-119.6,732,Hanford,99349,US/Pacific,WA,Washington,US,United States of America,Benton
4008,KNOW,Port Angeles Coast Guard Air Station Airport,48.1412,-123.4139,13,Port Angeles,98363,US/Pacific,WA,Washington,US,United States of America,Clallam
4710,KUIL,Quillayute State,47.95,-124.55,180,Quillayute State,98331,US/Pacific,WA,Washington,US,United States of America,Clallam
5626,PPIZ,,69.82,-162.92,20,Point Lay/DEW,99704,US/Alaska,AK,Alaska,US,United States of America,Clallam
5555,PFYU,,66.57,-144.73,430,Fort Yukon,99737,US/Alaska,AK,Alaska,US,United States of America,Clallam
4769,KVUO,Pearson Airpark,45.621,-122.6542,26,Vancouver,98687,US/Pacific,WA,Washington,US,United States of America,Clark
3615,KKLS,Kelso-Longview Automatic Reporting Station,46.118,-122.8984,20,Kelso-Longview,98626,US/Pacific,WA,Washington,US,United States of America,Cowlitz
3924,KMWH,Grant County Airport,47.2086,-119.3191,1184,Moses Lake,98837,US/Pacific,WA,Washington,US,United States of America,Grant
3162,KEPH,Ephrata Municipal Airport,47.3,-119.52,1257,Ephrata,98823,US/Pacific,WA,Washington,US,United States of America,Grant
3454,KHQM,Bowerman Airport,46.97,-123.93,23,Hoquiam,98520,US/Pacific,WA,Washington,US,United States of America,Grays Harbor
4027,KNUW,Naval Air Station,48.35,-122.65,30,Whidbey,98278,US/Pacific,WA,Washington,US,United States of America,Island
4172,KPAE,Snohomish County Airport,47.907,-122.2816,607,Everett,98275,US/Pacific,WA,Washington,US,United States of America,Island
2718,KAWO,Arlington Municipal Reporting Station,48.17,-122.17,138,Arlington,98270,US/Pacific,WA,Washington,US,United States of America,Island
2925,KCLM,William Fairchild International Airport,48.12,-123.5,282,Port Angeles,98362,US/Pacific,WA,Washington,US,United States of America,Jefferson
47249,KSTZ,"Stacey""s Airport",47.972,-122.7721,100,Port Townsend,98325,US/Pacific,WA,Washington,US,United States of America,Jefferson
